match_id,match_date,home,away,home_poss,away_poss,home_manager,home_gender,home_date,home_manager_city,home_style,home_tactics,away_manager,away_gender,away_date,away_manager_city,away_style,away_tactics,venue,attendance,city,referee,ar1,ar2,fourth,var,league,gender,season,referee_cert,ar1_cert,ar2_cert,fourth_cert,var_cert,home_city,away_city
027eed9e,2023-09-23 18:30,Barcelona,Celta Vigo,74.0,26.0,Xavi Snow,Male,1980-01-25,"Terrassa, Spain",Desarrollo Juvenil,4-3-3,Rafael Benítez,Male,1960-04-16,"Madrid, Spain",Defensivo,4-2-3-1,Estadi Olímpic Lluís Companys,43272.0,"Barcelona, Spain",Mario Melero,José Martínez,José García,Alonso De Ena Wolf,Alejandro Hernández,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,"Barcelona, Spain","Vigo, Spain"
02934208,2024-02-11 21:00,Barcelona,Granada,65.0,35.0,Xavi Snow,Male,1980-01-25,"Terrassa, Spain",Desarrollo Juvenil,4-3-3,Alexander Medina,Male,1979-02-08,"Montevideo, Uruguay",Ofensivo,4-3-3,Estadi Olímpic Lluís Companys,41901.0,"Barcelona, Spain",Miguel Ángel Ortiz Arias,José Garrido,Guillermo Santiago,Luis Bestard Servera,Carlos del Cerro,La Liga,Male,2023-2024,AFC Master Referee Certification,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,"Barcelona, Spain","Granada, Spain"
02a46818,2022-11-27 16:30,Atlético Madrid,Barcelona,30.0,70.0,Matheus Cavichioli,Male,1986-04-27,"Porto Alegre, Brasil",Defensivo,4-4-2,Jonatan Giráldez,Male,1987-02-05,"San Sebastián, Spain",Ofensivo,4-3-3,Estadio Wanda Atlético de Madrid Alcalá ...,,"Madrid, Spain",Bruno Gallo,Sandro Silva,Madson,Karim Mossaoui,,Liga F,Female,2022-2023,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,UEFA Pro Referee License,,"Madrid, Spain","Barcelona, Spain"
02a7e9bd,2023-02-04 12:00,Athletic Club,UDG Tenerife,59.0,41.0,Iraia Iturregi,Female,1976-07-24,"Bilbao, Spain",Táctico,4-3-3,José Ángel Herrera,Male,1984-02-20,"León, Spain",Pragmático,4-4-2,Estadio Santa María de Lezama,,"Bilbao, Spain",Marta Frías Acedo,Carmela Capistros Bitrian,Marta Villanueva Benavente,Alan Kardec,,Liga F,Female,2022-2023,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,AFC Master Referee Certification,UEFA Pro Referee License,,"Bilbao, Spain","Güímar, Spain"
02a9ffb7,2022-02-14 21:00,Mallorca,Athletic Club,45.0,55.0,Luis García,Male,1973-02-10,"Zaragoza, Spain",Táctico,4-4-2,Marcelino Snow,Male,1965-08-14,"Villaviciosa, Spain",Ofensivo,4-4-2,Iberostar Estadi,12904.0,"Palma, Spain",Isidro Díaz de Mera,Rubén Becerril,Dieg Aguado,José Antonio Sánchez,David Medié,La Liga,Male,2021-2022,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,"Palma de Mallorca, Spain","Bilbao, Spain"
02ac456c,2022-01-09 14:00,Rayo Vallecano,Betis,58.0,42.0,Andoni Iraola,Male,1982-06-22,"Getxo, Spain",Ofensivo,4-3-3,Manuel Pellegrini,Male,1953-09-16,"Santiago, Chile",Táctico,4-2-3-1,Estadio del Rayo Vallecano,8395.0,"Madrid, Spain",Alejandro Muñíz,Marcos Cerdán Aguilar,Ignacio Alonso,Daniel Pastoriza,Xavi Estrada,La Liga,Male,2021-2022,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Madrid, Spain","Sevilla, Spain"
02eab739,2023-03-12 18:30,Villarreal,Betis,57.0,43.0,Quique Setién,Male,1958-09-27,"Santander, Spain",Táctico,4-3-3,Manuel Pellegrini,Male,1953-09-16,"Santiago, Chile",Táctico,4-2-3-1,Estadio de la Cerámica,19174.0,"Villarreal, Spain",Miguel Ángel Ortiz Arias,Julián Villaseñor,Alejandro Estevez Iglesias,Sergio Usón,Santiago Jaime,La Liga,Male,2022-2023,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Villarreal, Spain","Sevilla, Spain"
0374865a,2021-11-22 19:00,Real Sociedad B,Girona,53.0,47.0,Xabi Alonso,Male,1981-11-25,"Tolosa, Spain",Táctico,4-2-3-1,Michel Snow,Male,1963-03-23,"Madrid, Spain",Ofensivo,4-3-3,Estadio Municipal de Anoeta,1898.0,"San Sebastián, Spain",Francisco Hernández,Judit Romano,Álvaro González Narváez,Luis Bestard Servera,Oliver De La Fuente,Segunda División,Male,2021-2022,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,AFC Master Referee Certification,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,"San Sebastián, Spain","Girona, Spain"
03893917,2023-05-03 22:00,Getafe,Celta Vigo,35.0,65.0,Pepe Bordalás,Male,1964-06-04,"Alicante, Spain",Defensivo,4-4-2,Carlos Carvalhal,Male,1965-12-04,"Braga, Portugal",Táctico,4-4-2,Coliseum Alfonso Pérez,11022.0,"Getafe, Spain",Guillermo Cuadra,Iñigo Prieto,Antonio Martínez,Marta Huerta,Santiago Jaime,La Liga,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,"Getafe, Spain","Vigo, Spain"
0434a070,2023-10-05 19:00,CD Mirandés,Eibar,46.0,54.0,Alessio Lisci,Male,1974-11-24,"Livorno, Italia",Táctico,4-2-3-1,Joseba Etxeberria,Male,1977-09-05,"Elgoibar, Spain",Ofensivo,4-3-3,Estadio Municipal de Anduva,3249.0,"Miranda de Ebro, Spain",Andrés Fuentes,Víctor Jiménez,Carlos Martinez Caballero,Pablo Monterrubio,Álvaro Moreno,Segunda División,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Miranda de Ebro, Spain","Eibar, Spain"
0435e753,2023-09-30 16:15,Eibar,Tenerife,56.0,44.0,Joseba Etxeberria,Male,1977-09-05,"Elgoibar, Spain",Ofensivo,4-3-3,Asier Garitano,Male,1970-02-20,"Bergara, Spain",Táctico,4-2-3-1,Estadio Municipal de Ipurúa,4754.0,"Eibar, Spain",José Guzmán,Ángel Valverde,Ángel Munuera Montero,Abraham Domínguez,David Gálvez,Segunda División,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Eibar, Spain","Tenerife, Spain"
044a3381,2023-02-12 14:00,Albacete,Málaga,64.0,36.0,Rubén Albés,Male,1985-08-07,"Girona, Spain",Táctico,4-3-3,Sergio Pellicer,Male,1973-05-15,"Torrent, Spain",Táctico,4-4-2,Estadio Carlos Belmonte,9467.0,"Albacete, Spain",Daniel Trujillo,Ricardo Landrove,Javier Garrido Concha,Salvador Lax,Víctor Areces,Segunda División,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Albacete, Spain","Málaga, Spain"
044d0b0c,2022-10-23 14:00,Racing Sant,Ponferradina,42.0,58.0,Guillermo Fernández,Male,1982-07-10,"Madrid, Spain",Pragmático,4-4-2,José Manuel Gomes,Male,1970-05-02,"Amarante, Portugal",Pragmático,4-2-3-1,Campos de Sport de El Sardinero,10512.0,"Santander, Spain",Alejandro Quintero,José García,Javier Merino Sánchez,Aimar Velasco,Eduardo Prieto,Segunda División,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Santander, Spain","Ponferrada, Spain"
044f7144,2024-01-21 16:15,Real Madrid,Almería,73.0,27.0,Carlo Ancelotti,Male,1959-06-10,"Reggiolo, Italia",Táctico,4-4-2,Gaizka Garitano,Male,1975-07-09,"Bergara, Spain",Defensivo,4-2-3-1,Estadio Santiago Bernabéu,72044.0,"Madrid, Spain",Francisco Hernández,Abraham Pérez,Aitor Villate,Víctor Pérez,Alejandro Hernández,La Liga,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,"Madrid, Spain","Almería, Spain"
046e92d8,2023-09-03 16:15,Mallorca,Athletic Club,33.0,67.0,Javier Aguirre,Male,1958-12-01,"Mexico City, México",Pragmático,4-4-2,Ernesto Valverde,Male,1964-02-09,"Viandar de la Vera, Spain",Táctico,4-3-3,Estadi Mallorca Son Moix,17043.0,"Palma, Spain",Jorge Figueroa,Álvaro Granel,Rubén Porras,Jorge Tárraga Lajara,Santiago Jaime,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,"Palma de Mallorca, Spain","Bilbao, Spain"
04a5b6d3,2023-12-08 21:00,Espanyol,Zaragoza,48.0,52.0,Ramis Snow,Male,1970-07-09,"Maó, Spain",Defensivo,4-4-2,Julio Velázquez,Male,1972-02-05,"Badajoz, Spain",Táctico,4-2-3-1,Stage Front Stadium,21993.0,"Cornellá de Llobregat, Spain",Dámaso Arcediano,Marcos Cerdán Aguilar,Adrián Díaz,Gonzalo González,Aitor Gorostegui,Segunda División,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,"Barcelona, Spain","Zaragoza, Spain"
04ebb18d,2023-03-18 18:15,Sevilla,Real Betis,48.0,52.0,Anton Zabolotny,Male,1991-06-19,"Luhansk, Ucrania",Defensivo,4-4-2,Gerardo García León,Male,1981-08-14,"Oviedo, Spain",Pragmático,4-4-2,Estadio Jesús Navas,,"Sevilla, Spain",Beatriz Cuesta Arribas,Carmela Capistros Bitrian,Frédéric Duplus,Selina Álvarez Blanco,,Liga F,Female,2022-2023,AFC Master Referee Certification,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,,"Sevilla, Spain","Sevilla, Spain"
04ed17a7,2021-12-17 21:00,Celta Vigo,Espanyol,52.0,48.0,Eduardo Coudet,Male,1984-09-12,"Buenos Aires, Argentina",Ofensivo,4-2-3-1,Vicente Moreno,Male,1974-03-30,"Massanassa, Spain",Ofensivo,4-2-3-1,Estadio de Balaídos,9526.0,"Vigo, Spain",Valentín Pizarro,José Garrido,Iván Masso Granado,Miguel González,Carlos del Cerro,La Liga,Male,2021-2022,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,"Vigo, Spain","Barcelona, Spain"
