id,cost,exclusive,PlacementDate,placement_type,type_description,ads,building,programme,post
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,8519,Málaga - PitchPerfect Provisions,,12356
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,3750,CD Mirandés - Striker's Style Outlet,,20923
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,9366,Leganés - CornerKick Collections,,12994
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,10207,Ibiza - CornerKick Collections,TechVisión España - Daily News Recap,13919
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,4985,Alcorcón - SoccerSphere,AireAventura Radio - Classic Countdown,
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",3267,,,20319
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",8780,,Barcelona Radio Estrella - Country Crossroads,19806
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",7351,,BasketVision - News Today,14863
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",2380,,EconomyInsights TV - SportsZone,13940
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",7817,,,
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",2082,,,19295
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",8609,,Andalusia Beats Radio - Sunrise Symphony,18181
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",6691,,Melilla Vision - Breaking News,20858
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",2704,Valencia - GoalLine Gear,,18530
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",9098,,,20740
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",9469,Lugo - KickOff Kits,,14579
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",9932,,BasketVision - News Today,19528
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",9320,,TenisVision - Late Night Sports,
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",7430,Real Sociedad B - GoalLine Gear,,20069
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",1207,Eibar - GoalLine Gear,EducationUpdate Radio - Twilight Tunes,13237
4,39500,2021-09-11 16:45:29,0,Print Ads,"Traditional advertisements in newspapers, magazines, or other printed materials.",8617,,,
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,2232,Valladolid - CornerKick Collections,,18928
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,8959,,,14277
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,10797,Valencia - NetBound Sports,Rioja Vision - Travel Magazine,19552
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,1279,Levante Planas - PitchSide Pro Shop,BalonmanoVision - Sports Spectacle,15012
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,5025,Alhama - KickOff Kits,,19342
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,1565,,,
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,4148,Cartagena - PitchSide Pro Shop,,17908
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,1708,Betis - GoalLine Gear,,
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,1297,,,14794
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,5356,Cádiz - KickOff Kits,SocialIssues TV - Global News Roundup,20913
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,10618,UDG Tenerife - SoccerSphere,València Waves - Classic Countdown,18123
5,426500,2018-07-21 04:54:48,0,Video Ads,Promotional content presented in video format on platforms like YouTube.,10042,,,12899
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",2930,Espanyol - PitchPerfect Provisions,Melilla Vision - Health Magazine,14722
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",9228,,,21689
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4951,UDG Tenerife - NetBound Sports,,17286
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",9176,Huesca - SoccerSphere,EscaladaExtreme FM - Morning Melodies,21647
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",7340,Elche - PitchSide Pro Shop,,18123
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4237,,,15004
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",8369,,Navarra Waves - Evening Echoes,
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",10572,Lugo - TurfTrends Emporium,EscaladaExtreme TV - World News Tonight,14488
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4675,Racing Ferrol - CornerKick Collections,,15331
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",2298,,CrimeAlert Radio - Nighttime Serenade,16936
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",8511,Girona - GoalLine Gear,,17243
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",2776,,Extremadura TV - Sports Express,16073
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4087,Madrid CFF - GoalLine Gear,,22130
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",3451,Granada - PitchPerfect Provisions,,
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",5640,,,18577
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",10797,Barcelona - SoccerSphere,Mallorca Wave Radio - Weekend Vibes,
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",5918,Alavés - CornerKick Collections,,17627
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4359,,CrimeAlert TV - SportsZone,20603
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",10250,,,21506
6,187500,2019-05-26 07:25:51,1,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",2640,,,18485
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9420,,Catalunya Radio - Country Crossroads,12682
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,7454,Barcelona - CornerKick Collections,,19686
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,10573,Racing Sant - NetBound Sports,CrimeAlert Radio - Nighttime Serenade,17036
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9139,Girona - TurfTrends Emporium,,
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,7161,Sevilla - TurfTrends Emporium,Navarra TV - Behind the Headlines,15327
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,10269,Sporting Gijón - PitchPerfect Provisions,EconomyInsights TV - Current Affairs,18259
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,2348,Athletic Club - SoccerSphere,LocalPress TV - Magazine Live,20831
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,4880,UDG Tenerife - Striker's Style Outlet,,15374
7,324000,2023-05-31 20:11:56,0,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9391,Oviedo - SoccerSphere,,17686
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,10675,Eibar - SoccerSphere,,18995
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,9870,,,20719
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,6801,Girona - NetBound Sports,BasketWave Radio - Latin Lounge,13137
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,4707,,EconomyInsights TV - Global News Roundup,21023
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,5097,Alcorcón - NetBound Sports,Catalunya Beats Radio - Twilight Tunes,17513
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,5447,,,
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,9128,Racing Ferrol - CornerKick Collections,,
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,9070,,Valencia Radio Activa - Retro Rewind,
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,5442,Cartagena - CornerKick Collections,Valencia Radio Activa - Soulful Sessions,17019
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,5001,,LocalPress TV - Sports Highlights,20515
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,9096,,,15993
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,1970,,,19814
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,8513,Villarreal B - CornerKick Collections,FútbolRadio - Happy Hour Hits,17836
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,6171,,,
8,113000,2020-04-10 23:39:41,0,  Ads,Displaying ads to users who have previously interacted with a website or app.,4348,,,12885
9,430000,2019-12-16 21:01:01,1,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,2090,Mallorca - CornerKick Collections,,
9,430000,2019-12-16 21:01:01,1,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,9644,,,13087
9,430000,2019-12-16 21:01:01,1,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3099,Getafe - GoalLine Gear,,12768
9,430000,2019-12-16 21:01:01,1,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,10681,FC Andorra - PitchSide Pro Shop,,17096
9,430000,2019-12-16 21:01:01,1,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,7554,Atlético Madrid - KickOff Kits,,14917
9,430000,2019-12-16 21:01:01,1,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3873,,AtletismoVision - Sports Insight,22303
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9198,Alcorcón - PitchPerfect Provisions,Rioja Vision - Breaking News,21791
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,3675,Alcorcón - CornerKick Collections,GlobalUpdate TV - Magazine Showcase,21333
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,10809,FC Andorra - GoalLine Gear,,17896
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,3047,Valencia - KickOff Kits,,20159
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9608,,Balearic TV - Morning Edition,17902
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,2077,,Rioja Radio - Weekend Vibes,13940
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,4725,Getafe - NetBound Sports,WeatherUpdate Radio - Sunrise Symphony,19450
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,3445,,GolSports TV - Prime Time News,
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,6637,Levante - KickOff Kits,,21089
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9197,Osasuna - PitchSide Pro Shop,BreakingNow FM - Late Night Jazz,13164
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,1680,Oviedo - Referee's Choice Sports,Catalunya Radio - Evening Echoes,17630
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9222,Málaga - Referee's Choice Sports,,13261
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,10685,Albacete - SoccerSphere,CiclismoWave Radio - Weekend Vibes,22164
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,4518,Girona - SoccerSphere,,13119
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9855,CD Mirandés - PitchPerfect Provisions,Canarias TV - Daily News Recap,21714
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,9313,Eldense - TurfTrends Emporium,HealthWatch TV - Global News Roundup,
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,3922,Racing Ferrol - Striker's Style Outlet,Galicia Radio - Late Night Jazz,
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,7751,,,20708
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,6206,Lugo - NetBound Sports,ActualidadTV - Travel Magazine,13540
10,304000,2021-10-09 22:44:13,1,Radio Ads,Audio ads aired on radio stations during programming or commercial breaks.,10691,,,16347
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,1246,,,15650
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,7231,Ponferradina - Striker's Style Outlet,,
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3000,,,22031
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,7315,,,22260
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,8145,,Canarias TV - Weekend Magazine,16791
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,10052,,Melilla Beats - Rockin' Rhythms,14390
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,2353,,TenisVision - Feature Report,15794
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,9385,,Catalunya TV - Sports Buzz,17951
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,4875,Celta Vigo - GoalLine Gear,Andalucía Waves - Evening Echoes,
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,1918,Leganés - KickOff Kits,PaddleSports TV - Live Sports Update,
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,6409,,ActualidadRadio - Midday Mix,19596
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,1924,Amorebieta - PitchPerfect Provisions,EducationUpdate TV - News Today,21841
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3488,,SevillaVision - SportsZone,16274
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,10884,Atlético Madrid - GoalLine Gear,RadioEspaña FM - Nighttime Serenade,
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3136,Levante - SoccerSphere,HealthWatch Radio - Classic Countdown,14788
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,10531,Getafe - Striker's Style Outlet,,
11,457500,2023-08-02 00:40:50,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,10799,CD Mirandés - SoccerSphere,,
12,303500,2019-08-29 23:46:57,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,7018,Real Sociedad B - KickOff Kits,,20636
12,303500,2019-08-29 23:46:57,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,5154,,Rioja Vision - Sports Express,17798
12,303500,2019-08-29 23:46:57,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,3291,,,20784
12,303500,2019-08-29 23:46:57,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,9808,Villarreal B - KickOff Kits,,
12,303500,2019-08-29 23:46:57,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,5389,Huesca - SoccerSphere,Galicia TV - Weekend Magazine,
12,303500,2019-08-29 23:46:57,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,1384,,EducationUpdate Radio - Nighttime Serenade,20991
13,363000,2021-12-12 02:55:35,0,Interstitial Ads,"Full-screen ads displayed between content transitions, commonly in mobile apps.",3675,Celta Vigo - Striker's Style Outlet,BalonmanoVision - Sports Spectacle,
13,363000,2021-12-12 02:55:35,0,Interstitial Ads,"Full-screen ads displayed between content transitions, commonly in mobile apps.",2049,Eldense - SoccerSphere,PoliticsTalk FM - Funky Fusion,12720
13,363000,2021-12-12 02:55:35,0,Interstitial Ads,"Full-screen ads displayed between content transitions, commonly in mobile apps.",6871,Racing Ferrol - PitchSide Pro Shop,,14130
13,363000,2021-12-12 02:55:35,0,Interstitial Ads,"Full-screen ads displayed between content transitions, commonly in mobile apps.",7535,,,17718
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4179,,Valencia TV pure - News Today,13101
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",7304,Eldense - KickOff Kits,,
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",9046,,,15857
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",10968,Rayo Vallecano - NetBound Sports,CulturalChronicle FM - Weekend Vibes,18173
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",5044,Leganés - PitchPerfect Provisions,CulturalChronicle FM - Twilight Tunes,15521
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",5399,Real Sociedad - SoccerSphere,,
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",5685,,MotorRace TV - Breaking News,19697
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",5389,Betis - SoccerSphere,NoticiasFM - Latin Lounge,22058
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",8361,,,15027
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",7768,Atlético Madrid - SoccerSphere,,
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",4921,Leganés - NetBound Sports,,19773
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",6314,Athletic Club - KickOff Kits,,14424
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",10704,,CiclismoTV - Sports Highlights,12764
14,28000,2024-02-08 09:53:35,0,Content Marketing,"Creating and distributing valuable, relevant content to engage a target audience.",10246,Real Sociedad - Striker's Style Outlet,,12596
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3736,Málaga - PitchSide Pro Shop,Innovación Radio - Sunday Soothing,18966
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,7271,,,
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,5298,,,21696
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,3847,,EnvironmentFocus FM - Soulful Sessions,13680
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,1870,,CazaPesca Radio - Sunrise Symphony,
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,1443,Osasuna - TurfTrends Emporium,,
15,115500,2022-01-14 13:06:38,0,Event Sponsorship,Supporting and promoting events in exchange for visibility and branding opportunities.,2579,,,12455
